Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance," This is another one of those rare stories that will likely be forever locked away in some dusty archive. In these cases, however, the archives are rich with historic information about the people and events that occurred at the time.
A decade ago, a man named Daniel Pinto pleaded guilty to charges of shooting his three daughters dead at the hands of his former girlfriend.
He was sentenced to life in prison, but later pardoned on compassionate grounds.
Pinto’s crimes occurred during the reign of former Vice President Dick Cheney.
Daniel was an employee at the same company as Cheney, and he did not realize what Cheney did in 2001 when the two men were not speaking in public.
In 2006, Pinto was sentenced for another murder.
Pinto and the daughter he gunned down were the only two people shot that day in a crowded intersection in Wahoo, Utah, according to the Salt Lake Tribune.
On May 29, 2001, Pinto was at an intersection where “two families had gathered to view a parade of the American flag” and “the gunman pulled out a gun and began shooting.”
He then drove the family home, where he killed the children.
Pinto’s family, who lived in the town of Payson, were understandably upset when the state legislature refused to renew their driver’s license.
As the Tribune reported, Pinto’s mother cried on the stand:
“What are we going to do now? We can’t drive on our own,” she said. “We can’t drive anywhere. They’re going to kill us.”
He was eventually sentenced to life in prison for his crimes.
During a 2007 televised interview, Cheney was asked about the former VP’s pardon:
“You did the right thing by pardoning him, but I’m not sure this is a good thing for a country,” Cheney said. “My first choice to do something like this, I don’t do this with my children.”
It seemed obvious that the pardons had something to do with the family’s political activism.
The family’s politics was more than just a matter of family politics. It had to do with their history, as they were members of the Republican Liberty Caucus.
The Cheney family ran for public office in Utah and Idaho in 1996.
The youngest daughter, Elizabeth, was",left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance," Dick Cheney is dead wrong. I love my sister, but she’s dead wrong on this issue.
(Image via Shutterstock)

",left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance," Call it Cheney versus Cheney.
As the son of ex-President George W. Bush, Vice President Dick Cheney’s oldest daughter has taken her opposition to same-sex marriage to the very top.
A New York Times report revealed today, “Ms. Cheney, the daughter of the vice president and the son-in-law of the ex-president, has been one of the most ardent opponents of same-sex marriage, with an online statement denouncing the idea from the White House Web site early Monday,” the newspaper writes.
“Ms. Cheney has said it is time for children to have a choice, and she also said it’s long past time to repeal ‘don’t ask, don’t tell.’”
The piece reveals that Mrs. Cheney has taken her opposition on issue of same-sex marriage to the White House, where a statement was made on Monday: “The Supreme Court ruling does not make it legal to discriminate against same-sex couples. That’s not an issue we can take to the Supreme Court, or in any way should we.”
The Times notes that the White House is “reluctant to weigh in on the issue,” and the newspaper’s reporter for the story, Julie Hirschfeld Davis, stated: “White House lawyers were unavailable.”
Mrs. Cheney, who has two brothers, also released a statement saying, “It’s a sad day that they won’t allow us to have our voices heard, but I hope for the good of the state of Wyoming we can win in November.”
The New York Times reported a few months back that Mrs. Cheney also has been the victim of cyber-bullying. It was reported that she received a torrent of messages calling her a “tramp” and “a hoe.”
“I am not trying to be disrespectful to others, but I have heard over and over from my brothers that I am a hoe,” Mrs. Cheney wrote on Facebook in September. “I don’t give a damn what your opinion is about how I was born.”
The article states that a woman was subsequently reported for posting comments about her family’s name. Mrs. Cheney said she did not know who the person was. She later reported the attack to the newspaper and said she was “a",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage," A statement from Liz Cheney on Wednesday, March 17, 2013, that strongly opposes same-sex marriage.
""My position has evolved through the course of my professional career from strong support for marriage between a man and a woman to being strongly opposed to it, as is my right and as is my responsibility as an individual and as a mom.""
""There is no contradiction between my beliefs and my father's political views, which have strongly supported marriage equality in the past, and which have not changed the way we as a family have raised our children,"" she added. ""My father's political views also do not change what I believe is the moral and legal right of anyone to enter into a loving and committed relationship that leads to a family and to a family's moral and legal duty to love and protect the life of every single human being.""
Source: The New York Times; Liz Cheney, ""My position has evolved through the course of my professional career."" The New York Times; March 19, 2013

Friday, March 17, 2013

While many parents are relieved at the recent Supreme Court ruling that recognized gay marriage, many wonder if a big chunk of the kids in the middle class are not only left out of the decision. How do they get into the middle class if they're already so far out?

From an article in the Seattle Times, here is a report about how a Seattle high school's parent committee is going to tackle middle-class issues:

Schools are facing the challenge of finding an answer to the challenge of being a parent of a middle class family. How can Seattle's high school board of directors avoid this challenge? How can schools figure out which families and which students will succeed?

One potential option: the Parent Advisory Council for Seattle High, a group of parents who will discuss and act as advisory board members for school district-appointed parent councils. The advisory council members will include the principal of each school, the superintendent of the district, the principal's designee, and school board members. The advisory council will hold discussions about community problems and ideas, and report back to school board members and the school board, and to the community at large. The advisory council will meet at least twice a year, and report to the school board about the process and progress of the advisory council, and the findings.

The parents of about two dozen students who have a parent in the advisory council plan to discuss the issue of middle-class families and how to approach their student's case. They",left,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage," In a Friday Facebook post, Liz Cheney, the younger sister of Wyoming U.S Senate candidate Liz Cheney (R) and daughter of former Vice President Dick Cheney, criticized her sister's remarks.
Her post was later deleted, but was reposted and then deleted again. The post was in response to a tweet from Mary Cheney.
“For the record, I love my sister, but she is dead wrong on the issue of marriage.”

Summary: In a Friday Facebook post, Liz Cheney, the younger sister of Wyoming U.S Senate candidate Liz Cheney (R) and daughter of former Vice President Dick Cheney, criticized her sister's remarks.
Her post was later deleted, but was reposted and then deleted again. The post was in response to a tweet from Mary Cheney.
“For the record, I love my sister, but she is dead wrong on the issue of marriage.”

Summary: In a Friday Facebook post, Liz Cheney, the younger sister of Wyoming U.S Senate candidate Liz Cheney (R) and daughter of former Vice President Dick Cheney, criticized her sister's remarks.
Her post was later deleted, but was reposted and then deleted again. The post was in response to a tweet from Mary Cheney.
“For the record, I love my sister, but she is dead wrong on the issue of marriage.”

Summary: In a Friday Facebook post, Liz Cheney, the younger sister of Wyoming U.S Senate candidate Liz Cheney (R) and daughter of former Vice President Dick Cheney, criticized her sister's remarks.
Her post was later deleted, but was reposted and then deleted again. The post was in response to a tweet from Mary Cheney.
“For the record, I love my sister, but she is dead wrong on the issue of marriage.”

Summary: In a Friday Facebook post, Liz Cheney, the younger sister of Wyoming U.S Senate candidate Liz Cheney (R) and daughter of former Vice President Dick Cheney, criticized her sister's remarks.
Her post was later deleted, but was reposted and then deleted again. The post was in response to a tweet from Mary Cheney.
“For the record, I love my sister, but she is dead wrong on the issue of marriage.”

Summary: In a Friday Facebook post, Liz Cheney, the younger sister of Wyoming U.S Senate candidate Liz Cheney (R) and daughter of",center,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage," Mike Enzi's (R-Wyo.) office announced earlier this week that his daughter Liz Cheney would run for Senate as a Republican, but the candidate did not immediately respond to a message on Friday.
This will be Cheney's third run for the Senate, and her first as a Republican. She was a successful candidate in 2006 and 2008.
Eager to learn more? Here are some of the most popular recent articles about Liz Cheney's upcoming bid:

A GOP insider and former staffer to Mitt Romney in the 1992 presidential election said Friday the GOP's 2012 presidential candidate would make a ""dynamic and effective"" Cabinet secretary and that her daughter Liz Cheney ""will be a fine choice"" in 2012.

""I think there's no question that Liz Cheney's a good candidate,"" a Romney campaign source said of her sister, who is also a candidate in the upcoming general election. The Romney campaign is putting a number of prominent Republicans on its campaign Web site in preparation for a potential 2012 bid, and some say Liz Cheney would be an ideal choice as the party's next leader.

She and her sister, Liz Cheney, would face a daunting field of contenders, with potential GOP nominee John McCain the most likely to make a serious run for the White House in 2012.

A ""powerful"" and ""talented"" young GOP insider on Friday said that Liz Cheney, Cheney's daughter, has great potential to be a ""strong"" presidential candidate, in addition to having a ""great personality,"" despite being from Wyoming, a part of the Republican ""red state"" of ""The Cowboy State.""

“I think Liz Cheney is just a fantastic, great, powerful young lady,” the young Republican Party insider, who is involved in the GOP's 2012 presidential campaign, told “Morning Joe” co-host Mika Brzezinski on Friday.

“She’s smart, and she’s pretty,” he said.

He said he believes the Cheney family would ""be a tremendous asset"" to the 2012 GOP campaign, particularly in Wyoming, a ""red state.""

“I think she’d be a strong candidate,” the insider said. “A powerful candidate.”

""She would be a great asset,"" the young GOP insider told Brzezinski on Friday.

He added, “I think, because of the way she comes off, I don’t think she’",left,center
"IRS official who refused to testify facing more scrutiny over scandal, past"," Lois Lerner, the former head of the IRS division which enforced the agency's campaign regulations, is under attack by Congress, the American Bar Association and the American taxpayer, but there's an important question: Why didn't she expose the practices sooner?

What are our sources?
The source who provided this is anonymous. The only source who knows her identity and who has been confirmed by her lawyer is her lawyer, William Taylor. They both have said their client is not guilty, and we have tried to verify their story with two other sources. They are not anonymous, and it is far from an anonymous process.

So why are these questions being asked now? What was her original motivation in disclosing this? The reason for all of this is that this is not the first time the Internal Revenue Service has come under scrutiny for its use of the IRS code to target conservative groups. In October of last year, a group of House Republicans demanded an FBI investigation into whether Lerner improperly used the Internal Revenue Code to target conservative groups that did not fit her priorities. In February, IRS Commissioner John Koskinen resigned, and President Obama announced new guidelines that prohibit the IRS from singling out conservative groups based solely on political beliefs.

Who is she?
Lerner is the daughter of a wealthy New York City family. She was the co-chairwoman of the now-defunct Republican Party of New York state for a number of years.
She was the assistant commissioner of the Federal Election Commission from 1994 to 1998.
She was then the assistant commissioner for enforcement for the Federal Election Commission from 1998 to 2002.

Why do we care?
She's been on the public payroll for a number of years. She was a chief of enforcement for the Federal Election Commission between 1998 and 2002. She has already pleaded guilty in the Pat Robertson case.

What's her record at the FEC?
She was not appointed by Obama, but was promoted by him -- she worked at the Federal Elections Commission under President Obama, as the assistant commissioner for enforcement.
She was not appointed by Obama.

Why did she resign now?
It's been reported that she resigned because she felt pressured by Obama. She had no previous political affiliation with him. She was not appointed by Obama, who had appointed her.

Why did she resign now?
It was the recommendation of her attorney.

What has the American taxpayer lost?
There is no political cost, only financial. The American taxpayer paid over $50",left,center
"IRS official who refused to testify facing more scrutiny over scandal, past"," The IRS official who refused to testify at a House hearing Wednesday has become a key focus of the congressional investigations into the IRS practice of singling out conservative groups. Now under the protection of her lawyers and the Fifth Amendment, Lois Lerner is facing a maelstrom of controversy.
Members of Congress are calling her evasive, and question why she didn't reveal the program sooner -- plus her history at the Federal Elections Commission is coming under scrutiny.
Lerner touched off the public controversy when, at an American Bar Association conference earlier this month, she apologized for the IRS' practice of targeting conservative organizations for additional scrutiny. It was the first time the agency acknowledged the practice.
""They used names like Tea Party or patriots... and they selected cases simply because the application had those names in the title,"" she admitted.
She said she hadn't revealed the information sooner, because she was never asked. But just two days before the ABA conference, Lerner was specifically asked about the investigation.
Rep. Joseph Crowley, D-N.Y., asked her if she could ""comment briefly on the status on the IRS investigation into these political not-for-profits.""
She said: ""There's a questionnaire that began this discussion and there's also a questionnaire out there that is seeking info from 501 c3,4,5 organizations.""
Crowley later called her answer evasive.
""The bottom line is you cannot lie to Congress, and you cannot be evasive, you cannot try to mislead Congress,"" he said.
In the 1990's, Lerner also served as chief of enforcement at the Federal Elections Commission.
Under her direction, the FEC undertook the largest enforcement action in its history -- suing the Christian Coalition for violating campaign laws. The Christian Coalition won, but in one deposition, FEC lawyers asked a defendant if televangelist Pat Robertson prayed for him.
James Bopp, the Christian Coalition's lawyer, said he was ""shocked and appalled"" by that.
""Both political activity and religious activity are specifically protected by the First Amendment,"" he said.
When Bopp learned years later that Lerner had been promoted to an IRS position, he became concerned.
""She was in effect being promoted for what she had done at the Federal Election Commission and now was going to be expected... to replicate that at the IRS and now we know that's exactly what happened,"" he said.
Lerner is represented by lawyer William W. Taylor, who is noted for winning a dismissal of all charges",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past","
Lerner is one of about 5,000 IRS employees who has been targeted by the agency's conservative wing as part of a years-long program of targeting conservative groups. The IRS's targeting of groups for additional scrutiny is considered a critical source of income to right-wing groups that have gotten millions of dollars in tax exemption.
Some conservative groups see the IRS targeting as a way to ensure they continue to receive money from those they were seeking to influence. Others take it as a way to ensure their members remain in the political scene.
Republicans have been trying to figure out the extent of the targeting, and have discovered that most conservative groups are never called on for additional scrutiny.
The IRS was required to give Congress a list of conservative groups that had applied for 501 (c) 3, 4, 5 tax exemption by the end of March 1998, but has not done so. Since it is not legal to withhold tax exempt information from the public without giving them notice, the IRS has been trying to conceal some of the activities of the conservative groups under the umbrella of ""for-profit"" tax exempt organizations.
The IRS also has singled out some right-leaning groups that are politically active for additional scrutiny. These groups include the political action committee America First, which is under investigation by the Treasury Department.
The political action committee, which is under the oversight of the Republican National Committee, is also under investigation, but has not been called back to answer questions by Congress.
The IRS is also looking into other conservative organizations that are being called out, such as the American Center for Law and Justice, and the American Civil Liberties Union.
The A.C.L.J. has also been asked by the Treasury Department to answer questions about the program.
Lerner said she doesn't know how much of her work at the IRS was under review, or whether the agency has told Congress.
""I can't really tell you how much of this is being reviewed by the IRS,"" she said. ""I'm just not in a position to know, and I think it's really important that it be looked at by Congress.""

After a decade-long investigation, Rep. Henry Waxman has concluded that the IRS targeted the conservative organizations he was investigating in a years-long scandal.

The House Ways and Means subcommittee he chairs wrote a report today saying the tax agency targeted conservative groups that were seeking nonprofit tax exemptions.

The report, Waxman said, ""presents a damning record of IRS targeting",left,center
White House Plays Down Data Program,"
— The national intelligence director said Friday that the new intelligence law “is not an undisclosed collection or data mining program.” The new disclosures are merely an “internal government computer system” that, as the Washington Post described it, has “permanent servers,” and allows the intelligence agencies to “identify persons with whom intelligence can be shared.”
— The director of national intelligence, James R. Clapper Jr., said Friday that the federal law requiring bulk collection of the Internet and phone records of millions of Americans is “analogous to a grand jury subpoena.” He also said the bulk collection of the same kind is a “foreign intelligence act.”
— As to the documents cited in The Guardian and The Washington Post, Mr. Clapper said they were only declassified in response to requests to do so, “not by the Department of Justice or the executive branch.”
— As a result of declassification, Mr. Clapper said, Congress “will have had an opportunity to fully review the process,” including “an opportunity to ask questions about the extent to which the collection is conducted pursuant to laws that have been fully vetted and approved by Congress.”
— In his remarks, the new F.B.I. director, Robert S. Mueller III, said “that bulk collection is lawful under the Foreign Intelligence Surveillance Act of 1978,” which authorizes surveillance of foreign intelligence targets. He also said that, in addition to bulk collection, the F.B.I. has authorized the authorities under the Patriot Act. “In the aggregate, the law permits lawful collection of the vast amount of information required to protect America’s security.”
— In his remarks on Friday, Senator Dianne Feinstein, the chairwoman of the Intelligence Committee, said she and the rest of the committee’s four Republican members “will continue to engage with the intelligence community and will monitor and report to our committee.” She said the disclosures about the F.B.I.’s warrantless surveillance of Verizon, the parent company of Ms. Appleby’s former employer, have “alarmed me.”
— The new disclosures are an embarrassing reminder that the U.S. intelligence community “is engaged in domestic spying on Americans, not foreign governments,” Senator Saxby Chambliss, ranking Republican on the Senate Intelligence Committee, said in a statement.",left,center
