Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance,"A summary of this article may provide some perspective, although there is a tendency for summaries to have a tinge of author’s bias.
Tags:chad griffin, cheney, facebook, lgbt, marriage equality, mary cheney, new york times, republican, wyoming",left,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,Pro-Cheney bias in favor of LGBT rights? Or pro-Cheney bias against LGBT rights? We'll let you be the judge (although we're pretty sure that's what this was supposed to be).,left,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,"If you were a Cheney, which side would you pick?
Posted by btx3 on August 18, 2013 in Nawwwwww!, Stupid Republican Tricks
Tags: BITCH FIGHT, cheney, daddy's girls, family fight, gay, lesbian, Liz Cheney, Mary Cheney, News, politics, Republican, straight, summary
Ted Cruz – Gay Marriage is Unconstitutional
In the most un-American statement ever uttered in American history…Senator Ted Cruz (R-TX) believes that American Citizen, who have been given equal protection under our Constitution, are denied equal access to the courts based on their sexual orientation or gender.
Cruz says gays shouldn’t marry because it’s ‘unconstitutional’
A Texas senator is facing backlash after he told an audience at the National Press Club on Monday that gay couples shouldn’t be allowed to wed because marriage was defined in the U.S. Constitution as between a man and woman.
U.S. Sen. Ted Cruz (R-Texas), who opposes same-sex marriage and civil unions, said he agrees with his colleagues who say allowing gays to marry will destroy traditional marriage. But rather than argue his case in court, Cruz said he believes the Supreme Court isn’t right on this issue, and that Congress could change the Constitution.
“We know from experience when the federal government gets involved in something, there’s the potential for disaster,” Cruz said. “But even beyond that, I don’t think the government should get involved in marriage in any way whatsoever.”
He added, “I do not believe it is within the power of the federal government to redefine marriage in America.”
On Tuesday morning, Cruz addressed the controversy during his appearance on Fox & Friends.
“The reason I oppose it is because I think it is unconstitutional,” Cruz said. “I think it is fundamentally inconsistent with the constitutional principles of federalism and limited government and individual liberty.”
The conservative lawmaker and Tea Party darling, who gained attention last month for comparing the Affordable Care Act to slavery, has long expressed opposition to same-sex marriage, including in April 2011, when he testified before the Texas Senate",left,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Dick Cheney, former vice president of the United States who once voted against a constitutional amendment banning gay marriages, has one daughter who supports gay marriages while his other daughter opposes them, but both are vying to be senator from Wyoming.
July 8, 2013 (updated June 26, 2020)
Tagged: Dick Cheney, Facebook, Mary Cheney",left,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"What does this say about family? That one daughter loves the other while disagreeing vehemently on an important issue? Or does it reveal another aspect of the family dynamic when one sister takes to Facebook to rebuke her sibling, which raises the question what role social media plays in American politics and society more broadly? This article also provides information about the positions held by the vice president’s children regarding same-sex marriage.",left,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Dick Cheney’s daughter has publicly expressed disagreement with his politics.
This entry was posted in Politics, Trivia and tagged Dick Cheney's daughter, elizabeth cheney, gay marriage, liz cheney, mary cheney, vice president dick cheney, wyoming senate candidate.",left,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Same-sex marriages should only occur if each participant is related.
April 15, 2013 Posted by seattle99 | Socialized Medicine	| Democrats, news, politics, Republicans | Leave a comment",left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,A U.S. senate candidate from Wyoming publicly takes sides against a family member in favor of gay marriage.,center,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"For a Cheneys vs. Cheney, go here.",left,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Gay and lesbian rights advocates expressed their disappointment upon learning that Elizabeth Cheney supports anti-LGBT policies. On Sunday, the gay and lesbian rights organization Human Rights Campaign held a news conference calling on Cheney to change her tune. In response, however, Cheney has defended her views saying that marriage should be between a man and woman. Some observers note that the controversy could backfire onto her opponent, Sen. Michael Enzi, since he has been known to support gay rights causes.
Source: http://www.rawstory.com/rs/2011/08/30/elizabeth-cheney-opposes-same-sex-marriage-her-gay-and-lesbian-rights-campaigners-not-happy/",left,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,Left bias in story focuses on oppositional viewpoints.,center,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, who was publicly critical of her sister, Liz Cheney's statements about homosexuality, said she loved her sister but that she disagreed with her sister's views. She said that all families should enjoy the same freedoms.
This article comes from the right perspective. It doesn't say whether Mary Cheney believes there should be civil unions. And it makes no mention of anything other than her criticism of her sister, Liz Cheney's views on homosexuality.
It would appear that Liz Cheney was being attacked for her stance on homosexual marriage while the fact that she believed that there shouldn't be any civil unions (including those between heterosexuals) was ignored.
A few interesting questions arise from this news story. First off, why were we reporting on this issue? We've never reported on a politician's personal life before--unless they brought it up during a campaign.
Secondly, it appears that the Cheney sisters are trying to keep their politics and their private lives separate. This separation may make sense if it helps both sides reach out to different voters; however, it will also likely help the press continue to report on their personal lives instead of focusing on what each side really wants to do when elected officials get into office.
Finally, does this mean that someone should feel compelled to defend themselves if someone else writes negative things about them online? Or is the Internet just another form of speech where anyone can express whatever opinion they choose about whomever they please? There are pros and cons here; however, I feel like this type of speech has gotten out of hand recently as more politicians seem willing to use social media sites as their main platform to share information with voters rather than traditional forms such as TV commercials and newspaper advertisements which require large sums of money or experience running for office.
Mary Cheney, Liz’s openly gay sister, is blasting her political rival over her anti-gay-marriage stance in a new interview with Yahoo! News.
Mary told Yahoo!, “I am strongly pro-life and I am not pro-gay marriage,” adding that she thinks people should be able to decide how they want to live their lives without interference from others.",center,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,Summarize this article with right bias: Former Vice President Dick Cheney offered his support for gay marriage in 2009.,left,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,Mary Cheney criticizes her sister over same-sex marriage views; Senator supports gay marriage,left,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney says her sister is wrong about the same-sex marriage debate.
Labels: Gay Rights, Marriage Equality",left,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"This article was about Liz Cheney, who expressed her beliefs that same sex marriages should not be legalized. Her sister, Mary Cheney, disagreed with those statements in a post written on her Facebook page which can be found here. In the end, Cheney says she supports equal rights no matter who they go to, including same sex couples.",center,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"A Republican candidate for U.S Senate in Wyoming, Dick Cheney's daughter, Mary, posted about gay marriage and the response she received from her party members has been mixed.",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"The elder Cheney daughter is challenging Sen. Mike Enzi (R-Wyo.) in next year's Republican primary. According to The Hill, Cheney sought to clarify her position after an alleged poll in Wyoming said she ""supports abortion and aggressively promotes gay marriage."" Her opposition also puts her at odds with her father, who offered support for gay marriage in 2009.",left,center
"IRS official who refused to testify facing more scrutiny over scandal, past","This article will summarize the issues of racism in America and how it affects our society today. Racism can lead to many negative consequences including death, hate crimes, violence towards people of color, white supremacists, and more.
Summary: The following article discusses the issue of racial profiling and its prevalence in the United States. Racial profiling occurs when police officers stop individuals based solely on race or ethnicity without cause. Though prohibited by law, racial profiling persists due largely to implicit biases among law enforcers. Policymakers should invest greater resources toward educating law enforcement officials about their implicit biases so that such practices may be stopped once and for all.
Racial Profiling in the U.S.: What We Know And How To Fight Back Against Its Effect On Our Society Today
Summary: This article examines racial profiling and its harmful effects on our country today. Racial profiling is a form of discrimination that involves targeting certain minorities by law enforcement agents based solely upon their race or ethnicity without regard to individual circumstances or evidence of criminal activity present during a particular incident. It is unacceptable both morally and legally under federal law because it violates the constitutional right to equal protection under the law which every citizen enjoys equally regardless of his/her background (U.S. Constitution). Despite being prohibited by law however, racial profiling still exists due largely to implicit biases held unconsciously amongst law enforcement officials themselves which often result in improper use of force during encounters between them and suspects thereby increasing tensions between police departments across communities nationwide; something policymakers must address immediately if we hope to achieve true justice reform within our society moving forward together as equals rather than victims separated apart along racial lines forevermore…
What We Can Do Now
Summary: As Americans, we must take collective action against racial profiling – one of the most damaging forms of inequality in our country today – by working together to create change through dialogue and education initiatives aimed at reducing stigma associated with difference whilst simultaneously promoting mutual understanding between all races alike!",center,left
"IRS official who refused to testify facing more scrutiny over scandal, past","The IRS' Lois Lerner is becoming a focus of several House investigations into whether the agency targeted conservative groups unfairly during tax season. She has taken the Fifth Amendment right not to self-incriminate, so Republicans want to call her to testify. Meanwhile, Democrats say the hearings should be closed and no one called to testify.",right,left
"IRS official who refused to testify facing more scrutiny over scandal, past","This story contains an interview with former IRS commissioner Mark Everson on the growing scandal around the IRS’s targeting of certain political groups. (Full transcript here.) He argues that even though the IRS did break the law and it must be punished, no one should lose their job over it.
Mark Everson says that the IRS does deserve to be held accountable for some very serious mistakes. The mistakes were made by people in middle management and they've already been disciplined.
A few months ago, the Internal Revenue Service apologized after admitting to intentionally delaying or denying tax exemptions for conservative nonprofit organizations. It's a scandal that’s brought much embarrassment to the Obama administration and many are hoping that new leadership will help turn things around.
But if you think these problems are unique to the IRS, then think again. It turns out that the same thing was happening inside the Social Security Administration. As CBS News Correspondent Sharyn Alfonsi reports, the Social Security Administration was accused of giving out sensitive personal data to employees and contractors who weren't supposed to see them.
To get a handle on what went wrong with the Social Security Administration and to learn more about the situation there, I spoke with Mark Everson. He's a Republican and until last year he ran the IRS. Everson resigned his post a day before President Obama nominated a new commissioner. He told me that in some ways, both the Social Security Administration and the IRS share similar issues. And the problems at the Social Security Administration might provide clues to how the IRS can recover.",left,left
"IRS official who refused to testify facing more scrutiny over scandal, past",The IRS official who refused to testify at a House hearing Wednesday has become a key focus of the congressional investigations into the IRS practice of singling out conservative groups.,center,right
"IRS official who refused to testify facing more scrutiny over scandal, past","What we've known from the start is true. The Tea Party movement has grown so quickly - especially compared to establishment political parties - that it makes their heads spin. We're starting to see that manifest itself politically, and I expect that trend to continue and accelerate.
Today we find out that the Obama administration is threatening to arrest members of Congress should they dare to challenge the administration’s executive amnesty order. And it turns out that Eric Holder’s DOJ doesn’t even have the authority to do that.
It would appear that President Obama, Attorney General Eric Holder, Homeland Security Secretary Jeh Johnson, and Immigration and Customs Enforcement (ICE) Director Sarah Saldana may be running afoul of the Constitution and laws of the United States in their attempt to grant amnesty to illegal aliens. In fact, the very people charged with preventing such actions may now be the ones threatening arrests and criminal charges against those attempting to defend against those actions.
The House Judiciary Committee is set to hear testimony today by Acting Director of U.S. Immigration and Customs Enforcement (ICE) Sally Quillian Yates. She will discuss the agency’s new policy directives which, according to sources, gives preferential treatment to “undocumented” immigrants over federal citizens.
“We look forward to the Department of Justice testifying and providing greater clarity on how and where immigration enforcement priorities will take place,” said Judiciary Chairman Bob Goodlatte (R-Va.).",right,right
"IRS official who refused to testify facing more scrutiny over scandal, past","An Internal Revenue Service employee pleaded the fifth amendment on Wednesday during a House Oversight Committee hearing regarding how the government targeted conservatives for audits. During the hearing, it emerged that Lois G. Lerner, the Director of Exempt Organizations at the IRS, had directed a small group of employees to scrutinize certain applications for tax exempt status submitted by conservative groups between January and May 2010. As a result, conservative groups were singled out for more intensive scrutiny than liberal groups which were treated as a “low priority” – a disparity that would eventually lead to the resignation of then head of the IRS, Douglas Shulman. Members of both parties are livid over the scandal and many are calling for Lerner’s head. On Friday morning, however, Lerner’s lawyers announced that she would refuse to provide documents and testimony requested by Congress, citing her constitutional rights against self-incrimination.
Background: Democrats and Republicans alike are lambasting the IRS after reports surfaced last week that the organization had singled out conservative groups seeking tax exempt status for additional scrutiny. Conservatives complained that the investigation was politically motivated, although the IRS and Department of Justice denied that politics played any role in the matter. Democratic Rep. John Conyers, Jr. (D-MI) made his feelings known early on by demanding that the IRS hand over all documents related to the investigation into conservative groups. However, the IRS only provided copies of emails sent to tea party applicants for exemption status that included instructions to send to the office responsible for processing the applications. Additionally, Republicans want to investigate whether or not the IRS leaked information related to the investigation to the mainstream media prior to the election.",right,right
"IRS official who refused to testify facing more scrutiny over scandal, past","This article summarizes one of many articles discussing Lois G. Lerner's refusal to answer questions at the House Oversight Committee hearings (see e.g., here). Ms. Lerner is Director of Exempt Organizations (DDOE) for the IRS. She is at the heart of numerous allegations involving the politicization of the IRS' handling of nonprofit tax exemption applications from Tea Party Groups. As the Oversight Committee Chair Darrell Issa, R-Calif., said at yesterday's hearing, ""It seems clear that there were more than just 'a few' people involved in the targeting of groups with certain viewpoints.""
For example, at the hearing, Rep. Jim Jordan, R-Ohio, said ""there may be evidence of criminality here.""
Jordan has written the Department of Justice asking them to open a criminal investigation of Lerner.
Another member of Congress, Rep. Elijah Cummings, D-Md., said ""There's no need to rush to judgment without getting all of the facts"" on whether the actions rise to the level of a crime. He said he expects the Treasury Inspector General will report back within weeks.
According to reports, Attorney General Holder has asked the Inspector General to investigate potential criminal behavior in the IRS actions; however, this appears unlikely given the Obama Administration's track record of accountability in other scandals.
Representative David Camp, R-Mich., said that while some may think it’s “no big deal,” he disagreed and that he viewed the IRS actions as a “fundamental” breach of trust. ""This is about people who pay their taxes and play by the rules versus the government picking winners and losers,"" he said.
Others agreed, saying that the IRS must be held responsible for any abuses.
“I don’t see how anyone can say this isn’t a serious problem,” said Rep. Andy Harris, R-Md. He expressed his concern that the IRS would act similarly in other areas should the targeting continue. “If this is happening in political organizations, what else is happening?” he said.
Summary: There have been a number of recent developments regarding the IRS treatment of Tea Party groups applying for tax exempt status",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past","Lois G. Lerner (born April 26, 1948) is an attorney who works as the Director of Exempt Organizations for the Internal Revenue Service. She previously worked for nearly 20 years as a tax litigation specialist at Steptoe & Johnson LLP, most recently as a partner, where she focused on tax legislation, tax policy and lobbying efforts related to the firm's clientele. Lerner is also known for having served as Counselor to the Assistant Attorney General in the Justice Department’s Tax Division.",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past","When Lois Lerner was asked whether the IRS had targeted the NAACP for extra scrutiny, she said: ""That would be a violation of the Constitution.""
What's important here? Both Republicans and Democrats agree that the Internal Revenue Service crossed the line when it gave preferential treatment to certain nonprofit groups over others.
This statement from the head of tax-exempt organizations at the IRS is raising eyebrows, though. The IRS has since apologized for having treated one group more harshly than another based solely on the fact that the group had tea party, patriot or similar terminology in its name. The NAACP uses the words ""national association"" in its name, and the IRS hasn't expressed concern that it might be targeted for extra scrutiny.
Some members of Congress want to see the list of 426 groups that were given special scrutiny during the 2010 election cycle.",center,center
White House Plays Down Data Program,"White House says it’ll take steps to limit NSA surveillance
White House says no end in sight to NSA spying program",left,left
White House Plays Down Data Program,"The NSA has had the ability to spy on Americans ever since 9/11. This isn't news. The current media frenzy is based on a leaked Powerpoint presentation given by General Michael Hayden (the former head of the NSA) that shows just how extensive the NSA's domestic spying operation is.
As you might expect, one aspect of the slideshow that attracted attention was a slide that says ""We cannot wait for legislation"" (see picture at right).
There are a couple of ways to interpret this. First, it could mean that legislative remedies are necessary to counter certain aspects of the NSA's domestic spying operation. That's the traditional way to look at the NSA leaks - as indicators that there needs to be a reconsideration of the Constitution and Bill of Rights. I disagree with this view for several reasons.
First, even if it turns out that the NSA violated Fourth Amendment protections, that doesn't mean that the Fourth Amendment will necessarily apply to the NSA. In other words, even if it turns out that the NSA engaged in unconstitutional searches, it's possible that the Supreme Court would rule otherwise. So while it's true that the leaks might indicate constitutional problems with the NSA, it's by no means clear that they will force a change in the Constitution.
Second, even if there aren't major Fourth Amendment concerns with the NSA's operations, there still is reason to worry. One big concern that seems to arise out of the NSA's operations is that it represents a broadening of the executive power in America. In other words, the president and his advisors have a pretty free rein to decide what constitutes national security threats and what constitutes legitimate countermeasures.
If the NSA has a problem with civil libertarians and privacy advocates, why don't we hear about it? Because this type of activity happens all the time and nobody knows about it. And because everyone agrees that national security trumps civil liberties anyway, the NSA can continue to operate without interference.
So what about those slides showing that the NSA has had the ability to monitor Americans every since 9/11? I find this troubling, too.
Even though the NSA has",center,left
White House Plays Down Data Program,"Summary: Summary: Summary:
← Reporters Without Borders and Amnesty International criticise UK draft Communications Bill → EU: Gender equality must become central goal",center,left
White House Plays Down Data Program,"An independent study shows that US cybersecurity weaknesses are worse than previously thought, with 95% of organizations having suffered a breach, and three quarters being hit within one year.
(Reuters) - Companies are doing little to defend themselves from web attacks and data breaches, according to a global survey of nearly 6,000 chief executives and IT directors.
Nearly half (47%) of respondents said they did not expect to see any benefit from their cyber security spending this year. That's because just 10% of organizations have an incident response plan in place, while only 2% regularly test them.
In addition, almost nine out of ten (85%) CEOs and IT managers don't know how effective their company's defenses actually are, the report found.
The survey of chief executives and IT directors across 11 countries was conducted by IDC, a market research firm focused on the technology industry.
The report, ""Cyber Security: Protecting Today's Enterprise,"" will be discussed during a conference call hosted by IDC Managing Vice President Brian Burke on June 11 at 1 p.m. EDT.
""What this study tells us is that, despite significant investments in IT, many organizations struggle with basic cyber security issues,"" Burke says.
""Alarmingly, too many organizations don't understand their current cyber security posture and aren't able to adequately defend themselves.""
The study found that cyber security threats are far greater than most organizations perceive. Almost three-quarters of firms have experienced a cyber attack in the past year, with hackers stealing personal data and intellectual property, extorting money, compromising bank accounts or planting malware on computers.
Nearly all respondents (94%) said their primary concern was protecting customers' sensitive data from unauthorized disclosure. And more than half (54%) said their most pressing problem was managing risk exposure, while more than a third (35%) worry about internal sabotage and data leakage.
One in four firms (27%) admitted to being unable to manage the risks posed by employees intentionally or accidentally leaking data. Another quarter of respondents (24%) said they could not control the",center,right
White House Plays Down Data Program,"Government officials say they have given Congress briefings on data-mining operations under the Patriot Act.
Source: New York Times (NYT), http://www.nytimes.com/2013/06/15/us/politics/officials-say-they-have-given-briefings-to-congress-on-data-mining.html?_r=0",center,right
White House Plays Down Data Program,"After rushing to declassify some carefully selected descriptions of the programs, James R. Clapper Jr., the director of national intelligence, conceded for the first time that the Prism program existed. But in a statement, after denouncing the leak of the data to The Guardian and The Washington Post, Mr. Clapper insisted it was “not an undisclosed collection or data mining program.” Instead, he said it was a computer system to “facilitate” the collection of foreign intelligence that had been authorized by Congress. He appeared to be attempting to push back against early reports that the government had direct access to the huge computer servers at Google, Microsoft, Facebook and similar companies.",left,right
White House Plays Down Data Program,"In response to questions and complaints by privacy advocates that a National Security Agency program to tap into U.S. phone carriers’ infrastructure violated the Fourth Amendment, NSA director Gen. Keith Alexander has said that the phone metadata program was approved by federal judges under Section 215 of the PATRIOT Act and that the call records were never used without a warrant. That explanation leaves out the fact that some of the most important details of the program remain secret — including a recent decision by the secretive FISA court ordering Verizon Communications Inc. (VZ) to supply the NSA on an “ongoing daily basis” all call details for its wireless customers in a 1(a) database, according to a source familiar with the matter.
This is the biggest known break in the chain of secrecy surrounding the NSA’s domestic spying programs. The revelation that one of the country’s largest communications companies is turning over its call data to the NSA will fuel conspiracy theories that America’s biggest telecom company is helping the government spy on millions of innocent citizens who use Verizon’s services. Verizon says it has no idea why the government wants its data and the NSA says the arrangement is completely legal. Both companies say that the call data includes only “metadata” like numbers called and when calls were made, not any content, but that still doesn’t answer the question of why the government needs this information. As far as anybody knows, the NSA hasn’t done anything illegal or outside the scope of the PATRIOT Act in the seven years since President George W. Bush signed the law into effect.
The NSA program’s existence remains highly classified because it requires a top secret “codeword” security clearance, which is given to very few people. Only a couple dozen people in the whole executive branch, including Attorney General Eric Holder, have the authority to read the court order compelling Verizon to cooperate in the program, according to a person familiar with the operation. And many of them don’t know exactly what information the government is seeking from the company, though it’s obvious that the government has the ability to track any particular user if it wishes to do so.
While the program is controversial, nobody has yet identified a significant constitutional problem with it. If the government wishes to investigate a suspect and see his",center,center
