Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance,"
Mary Cheney is the second daughter of former Vice President Dick Cheney and her husband William. Their relationship began when Liz Cheney was a child. During the time of Bill's presidential career, Mary Cheney was not involved in much political work whatsoever, much more the work of her sister's political activism that involved publicly campaigning, campaigning by public relations firms, speaking at big town meetings, and so forth.
However, her sister has continued to campaign for a wide range of public office in her family, including Senate, House, and U.S. Attorney General.
Although she's not listed on any of the official government econometric lists of active employees of all four offices of the Office of Legislative Counsel, she has regularly posted about her political campaign history on her personal Facebook page, with many others expressing similar positions as well, most notably her support for same-sex marriage.
This particular post came from March 2012 and reflects Mary Cheney's ongoing political actions during 2011 through 2014. Although Mary Cheney may have made less political contributions at that point, her political activity has continued to be of no concern to many in her family.
I appreciate that Liz Cheney has done her best to remain neutral in matters of personal personal interest to the public, with her focus on what is best for the country. However, we must remember that her public statements are not intended to promote her personal views or to discredit any candidate. I have asked my colleagues at my office to be cautious in supporting any individual or political candidate to the extent possible because of my personal interests.
This blog will continue to grow as we learn from this growing report. Please consider donating to support our content by donating through our Patreon, where you can stay involved with a portion of the great work our family has accomplished and are still striving to do together.
In other news, I recently wrote a piece about how the Affordable Care Act and healthcare legislation have hurt the health status of many Americans, especially those in poor and struggling states. I'm happy to report that I've received the support of Governor Greg Abbott (R-Texas) and many members of his Cabinet. This is the first time Governor Abbott has openly criticized those who have not already voted in favor of legislation.
Mary Cheney's personal website features numerous videos on family problems, life and life, both official and unofficial. She also lists information such as her own story of a mental illness, and her own experience as a mother of three children.
I encourage readers of my blog to consider voting for this campaign by using one of the",left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance," A State-by-State Proposed Proposed Article 1.
Article 2.
Article 3.
Article 4.
Article 5.
Article 6.
Article 7.
Article 8.
Article 9.
Article 10.
Article 11.
Article 12.
Article 13.
Article 14.
Source: New York Times, July 15, 2013.
Advertisements",left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"
Elizabeth Cheney was a 'pro-gay' candidate for the Wyoming Senate seat. Despite her strong positions on same-sex marriage and gay rights, her family has long opposed, publicly and privately, its acceptance by local and state politicians.
In March 2012, Elizabeth posted this on her own private Facebook page: “It is hard for me to say it, but I'm going to try to tell you for the sake of argument it doesn't get me where this is. This isn't a position I'm in, and the only reason I've been able to do that is because the state legislatures in those states have passed laws to allow them to do that, and they all do it so that our children are safe and happy,“and because our society has changed over time, so that gay people will feel more secure and more secure,“that this has been allowed.
It turned out that Elizabeth, while still a woman of color and a staunch Democrat, had received strong grassroots support, particularly for allowing her to run for the Wyoming Senate seat. However, as the Times notes, Liz Cheney's husband, a former Supreme Court justice, died in a traffic accident in 2013.
As we reported here, Liz Cheney is one of several Republicans running for the Wyoming Senate seat.
Former Arkansas Governor Mike Huckabee, who took office in 2012 after a failed attempt to pass a conservative immigration bill, is considered by a number of GOP lawmakers to be one of the most vocal opponents of marriage equality.",left,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage," This is a bad position on marriage. It's not the marriage that makes you more or less gay — it's the wrong marriage, the wrong idea on one of the most important questions of our day. That's why I'm not for legalizing same-sex marriage on the basis of race, creed, gender, and sexual orientation, but because it is wrong on so many levels, because marriage is defined as something between two human beings. And what it does is define us.
That's why I'm not for legalizing same-sex marriage on the basis of race, creed, gender, and sexual orientation, but because it is wrong on so many levels, because marriage is defined as something between two human beings. And what it does is define us. The issue is one of gender — you are not allowed to have that distinction and therefore you can only make one choice for yourself or for a person with equal rights. That's why there is an affirmative action requirement for equal access to reproductive health care in California and for equal access to marriage equality in Colorado. I love my brother and am proud of him, and we will continue to fight for him and win him his right to exist on every inch of earth. And that's why I'm not for legalizing same-sex marriage on the basis of race, creed, gender, and sexual orientation, but because it is wrong on so many levels, because marriage is defined as something between two human beings. And what it does is define us. It isn't. No one should be allowed to marry anybody of any race, creed, sex, or sexual orientation and, because they may be of one sex, any of the things that are wrong with our Constitution, it is no one's idea of morality.
[Image via Shutterstock]",center,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage," Former New York Sen. Mary Cheney was on the defensive, voicing her belief that same-sex marriage was a bad idea to begin with.
This is what her family and supporters must believe. I am deeply, deeply disappointed in the actions of the Vice President. My family and I look forward to continuing to fight this issue. Thank you. — Mary Cheney (@MaryCheney) December 22, 2017
This post was written by Bill Van Auken.",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"
• She has now publicly called same-sex marriage a ""slippery slope"" and said it could result in higher rates of crime.
• ""We need not go into the politics, we need to focus on what's real,"" she added.
• She said last year that he is ""extremely pro"" for same-sex couples.",left,center
"IRS official who refused to testify facing more scrutiny over scandal, past"," The IRS has been subject to an ongoing series of investigations into conservative groups.
Among the largest were the Heartland Institute, the conservative think tank founded by Koch Industries founder and former White House legislative director, Tom Donilon. That group also included Christian Coalition (Cable Communications). Another group, National Council on Government Oversight, was the third-largest group.
This month the IRS filed an ongoing federal civil complaint on behalf of the group.
Crowley's office is still investigating IRS policies on the groups, with his office also conducting a special counsel. The complaint alleges the IRS ""will continue to aggressively target conservative organizations with a view to gaining access to their tax returns or to obtain additional special access to their records or other records in the future.""
But the case remains highly sensitive because of the controversy surrounding this week's House IRS hearing.
The complaint, obtained by USA Today, says Lerner's staff ""made a concerted effort to mislead and conceal information about these entities and to conceal its scope and potential adverse impact on the IRS's mission.""
The complaint details how the IRS, which is under the control of Obama, has targeted the group's tax returns. The IRS has said its actions have ""proven[ed] significant impact on the IRS's mission to collect tax-exempt groups,"" and in many cases has been ""indicative"" of ""a serious lack of oversight and compliance efforts at the IRS.""
Rep. Mark Sanford (R-S.C.) called Lerner's comments ""willing blindness"" in his office.
""There are no better examples of how the IRS can continue to violate the Constitution by targeting and profiting from an organization of its own creation than the one that is now at issue with the Federal Election Commission,"" Sanford said. ""The IRS has not only been able to silence independent political organizations, but it has been able to turn a blind eye to conservative groups for decades.""
Calls to the IRS Office of Inspector General (OIG) were not immediately returned.",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past"," Lois Lerner resigned as the IRS' senior counsel just a day after taking office in 2014. According to two top sources, the IRS turned over information that led to her firing.",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past"," The White House made it clear it would not confirm or deny that Lerner sought to target conservative groups, even if that meant hiring a law firm, a government-appointed law firm, or a personal lawyer.
In her testimony Tuesday, Lerner admitted to refusing to testify about the IRS's targeting program. She was asked whether she planned to speak again later in the day.
Lerner's lawyer, Thomas C. Wessels, said the hearing testimony is not meant as a full and impartial review by the government. The Department of Justice did not respond to questions about her role. In an email to HuffPost, ABA spokesman Ryan Dillon declined to comment on how many congressional members or constituents might be impacted by her testimony, saying, ""Representative Lerner's role as IRS spokeswoman reflects the IRS's commitment to public disclosure and our public discourse on important issues.""
One member of Congress spoke about how the IRS and other government agencies have responded to a call to publicly disclose sensitive information about the tax returns of American citizens. Sen. Susan Collins (R-Maine) was asked if she would not resign if she were not investigated by the IRS.
""Yes, I would,"" she said.
Lerner's attorney, John W. Mankowski Jr., said the agency has never been asked to respond to questions about political activity by members of Congress.
But his client did take part in Tuesday's hearing. In an interview, Lerner denied involvement in government activity, but conceded to reporters that she had done something wrong.
""In what I did, I did not believe that the IRS had acted arbitrarily. And I do not believe that this was a willful action,"" she said. ""I was not asked to give that answer. The truth is, I did believe that the IRS should not be a target in this regard, and I did not believe that there should be any suspicion of wrongdoing against the government when I became IRS director.""",center,center
White House Plays Down Data Program," A federal appeals court set a Thursday, March 13, hearing before an 11-judge panel to decide whether to overturn its recent ruling that granted permission for the United States to obtain and share telecommunication information collected by its government. According to Justice Department and law enforcement officials, a decision on the legality of the government's collection of personal data will be taken by next year. The Supreme Court's decision follows the highest-profile ruling to uphold a 1996 law known as Section 215.
The court said that the collection of data on US persons ""in the course of a lawful counterterrorism operation”[is] permitted by the Fourth Amendment”.""
The agency is now weighing the legality of the collection of such information under the Foreign Intelligence Surveillance Act, with two members of Congress now calling for the court to follow suit, as has a coalition of civil rights groups and civil liberties groups.
In an interview Thursday at the Capitol, Mr. Trump suggested that an Obama administration agency had access to his conversations on the phone, suggesting that the White House can get to the bottom of the surveillance program if it wants.
""If you go back to the beginning of this, it was something that was pretty much classified, I don't know,"" Mr. Trump said of the collection. ""The question is would we want to keep people out of those places? We've got to find out if the law can be used to get the information to you.""
He didn't specify what that might mean, but noted the existence of a separate program with ""some pretty great power and some very powerful tools.""
He said the agency has been granted three exemptions from FISA, the Fourth Amendment, the Foreign Intelligence Surveillance Act, and the Foreign Intelligence Surveillance Court.
Mr. Clapper, who has repeatedly called on the intelligence agencies to turn over ""full, accurate"" information about their programs, also asked why a program is collecting information about people's communications without any prior access to government servers. The intelligence officials, a senior intelligence official said, ""want their privacy protected.""
But Mr. Clapper added that, ""it is difficult to imagine that something so broad as this could be considered an authorized program, particularly given that it involves such a broad subject, and so broad a scope.""
Under the Foreign Intelligence Surveillance Act, any person with ""specific knowledge of a matter that is relevant to a lawful counterterrorism or other law enforcement activity"" can be subject to an investigation by the Foreign Intelligence Surveillance Court.
The Justice Department said it will examine whether a judge could overturn",center,center
