Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Former vice president and former first lady Barbara Bush is likely to enter a Democratic primary run for a Senate seat.
Former president George W. Bush, former first lady Barbara Bush, and other political figures have spoken against same-sex marriage in the past, with the former president even stating that he supports legislation to “legislat[e] as specifically as we can” on the matter.
Barbara Bush said recently she has nothing against same-sex marriage, but is concerned that her husband, ex-president George W. Bush, has expressed support for the bill in past as well.
“That’s why I’m so troubled by the issue of homosexuality,” Barbara Bush said of the question. “I was very pro-choice when I was in office. But I also wanted every person to have rights as much as I do.”
George W. Bush has not publicly endorsed same-sex marriage or against same-sex marriage since his wife’s presidential run for president in 2004.
While no candidate is expected to face a primary battle, this could change if former president George W. Bush decides to run for re-election, as polls indicate he is the front-runner among Republican candidates.
Barbara Bush is the likely GOP contender, even though Barack Obama is a front-runner and other names are in the mix, including Texas Senator Ted Cruz, Kentucky Senator Rand Paul, Ohio senatorial candidate Josh Mandel and South Carolina governor Nikki Haley.
The former president’s daughter could enter the race and also be open to running in a GOP primary.
If this scenario does occur, we will update the post accordingly.

New Hampshire’s Republican nominee for Senate, former Senator Kelly Ayotte, is making plans to hold a fundraiser at the Four Seasons Hotel on Friday, Feb. 11. Ayotte has announced she is teaming up with former President Bill Clinton and former Vice President Al Gore to pay the costs.
“While my family is not involved with this endeavor, we have also set the stage for those who seek to join us,” Ayotte told the Manchester (N.H.) Republican. “And we invite those who want to join the committee and those who wish to support the nominee and those who desire to work with us to join our campaign for Senate.”
A number of Republican party heavyweights, such as former House Speaker Newt Gingrich and former Gov. Mitt Romney, have also previously",center,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Two women in Wyoming have come to a different conclusion on same-sex marriage.

This entry was posted on Monday, October 8th, 2013 at 8:52 am and is filed under. You can follow any responses to this entry through the RSS 2.0 feed. You can leave a response, or trackback from your own site.

3 Responses to “Is Liz Cheney’s stance on gay marriage the same as it was for Mary Cheney?”

I was in a relationship with a married lesbian, whom I met while we both were in high school, and who has been in my life in some capacity for more than six years, since high school. Our lives and the lives of our friends revolved very much around and were heavily influenced by the lesbian scene, and to this day I can honestly say that I, as a lesbian, have never been involved in something as a political arena. This whole discussion is fascinating, but I think there is more to it than just the ‘what about Liz’s stance’ controversy.

I am not gay, and I respect my older sister’s position, but it is not that simple. She may want to marry our parents, but her view on marriage as a relationship is not the same as mine.

And what if she wants to marry her lover, while my view is different? What do my sisters have to say about that? I see no problem with the idea of a marriage between two people of a different gender or orientation, but I will tell you that I disagree with Liz Cheney on this issue and that I don’t think that marriage is defined by the relationship of either gender. That being said, I have no problem with my sister’s view on a family and children being equal to the rest of society because I believe that families should be based on love, not politics.

All of this is very interesting, and I look forward to reading more. As I mentioned in a recent post, if you are a parent you will find this a very enlightening and important discussion. My daughter would be interested to hear this conversation as well. If you could post a comment for us, we would appreciate it.

One thing that I found interesting about Liz Cheney was her comment about her views on abortion, which I thought was absolutely right on. I think it is absolutely, absolutely, 100% wrong to suggest that a woman has the right to control her unborn child after she",left,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Liz and Elizabeth, who have not married but are married to Heather Poe, have not changed their position on same-sex marriage. However, if Liz and Elizabeth decide to run for the Senate, they would face one of the nation’s most conservative and pro-corporate Republican senators, who has publicly called for a “religious liberty” amendment to the U.S. Constitution to permit states to regulate marriage.

Summary: As the nation is coming to grips with the events of September 11, the 9/11 Families United movement is holding its big annual meeting in Dallas.
The meeting is being held by the 9/11 Families United Steering Committee in the Texas Convention Center (TCC).
9/11 Families United is a non-profit organization dedicated to making the world a safer place by providing safety information and awareness, as well as educational and emotional support for those who believe they may have been affected by the terrorist attacks. 9/11 Families United also gives assistance to its members in times of need and offers the support of volunteers in times of grief.
9/11 Families United is the largest and longest running family movement in the country. Founded in September 2001 by a group of 9/11 Families United leaders, the movement has reached nearly 10 million people worldwide.
9/11 Families United is the leader in the U.S. in providing information about how to help those in need. The movement focuses primarily on the needs and concerns of first responders and the public.
In addition to the TCC, the meeting is also being held in Dallas and Houston, TX.

I did not get my car fixed last week. This week, I want to see if you got your car back from the insurance company.
Here is the website I can go to: http://home.comcast.net/~rokke/car-insurance.html.

Do you have your car insured? Do you have insurance? When you call them and pay all the claims and deductibles, do you get the cheapest rates?

The thing is that I will get your car fixed and your insurance is covered when the insurance companies fix it. I need your car fixed and you will pay for the car in full. I just did the math and figured that if you paid $300-$500 then it will cost you an additional $1000-$1400. Do you think that sounds right to you?

It might seem harsh but I am being realistic. I would rather",left,left
Elizabeth Cheney blasted by older sister over gay-marriage stance," Dick Cheney may have gotten his political mitts in when he said the issue of same-sex marriage should be left to the states, but it’s not always up to judges.
The former Texas governor, former Texas Railroad Commission chairwoman and current energy secretary had a strong support from Republican women in the Senate when he was on the ticket with Dick Cheney, the latter’s daughter Mary also made that case in a Washington Post op-ed.
“For the record, I love my sister, but she is dead wrong on the issue of marriage,” Mary Cheney reportedly wrote. “I hope that in the years to come, and in future years as well, the states will be able to determine their own laws. For me it means freedom for all families — regardless of what their religious beliefs are.”
A “conservative” is defined in the dictionary as a member of Congress who favors limited government.
According to the nonpartisan National Conference of State Legislators, the word conservative may be somewhat misleading when used to refer to a member of Congress.
The State Legislature defines conservative as “a member of the Party’s right wing” or a conservative Republican in the House or Senate.",center,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Cheney blasts Liz Cheney’s anti-same-sex marriage comments; Liz responds; and others respond.

After months of trying to get “big data” companies to disclose more about how they have manipulated the data on their clients’ devices in order to get them to spend more time on apps like Facebook and Twitter, the companies are finally doing it.
“Data privacy is increasingly a thing of the past,” the head of Apple’s privacy-focused Privacy Team, Susan Molinari, told CNET.
“There’s too much evidence that the companies do it without any privacy protections and that this is just how they do it,” she added.
But as the Guardian reported earlier this week, the data collected for Facebook’s Ad Library and Instagram’s Discover feature have revealed just how many devices are being used to spy on Facebook users.
And some of those devices are even being sold for a profit.
“We’re not disclosing this data to make you buy more apps,” Susan Molinari explained to CNET’s Sarah Harrison. “But we are going to make more money.”
At the moment, there are no publicly available records or court cases that have been brought against any of the more than 80 companies that have bought the data from the social media companies.
For now, the Facebook and Instagram data that’s been exposed is only available to a select number of people — and as the Guardian reported earlier this week, many of those people who purchased their data are still using those devices.
That’s the problem.
There are no legal protections for people in the U.S. who are using these services, and even if there are, the companies would be unlikely to enforce them anyway.
“We all know that the data that the companies are doing this with is essentially an intelligence operation. That is what they are,” Molinari said, adding: “The question becomes, is there a legal obligation to report this intelligence operation or is the right to privacy protected?”
As Harrison notes, “Facebook has been in touch with its users about the risks,” while, in turn, the companies are trying to put the best face on their situation.

A number of journalists and privacy advocates have pointed out that Facebook and Twitter, the two most popular social media sites in the U.S., are",left,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Cheney’s daughter, Mary, believes that Elizabeth’s same-sex marriage stance is “wrong”, while her sister would like to see the same-sex marriage issue be handled on a state-by-state basis.

http://www.businessinsider.com/c/5e7b07ad4eab8d57b8b8e9200
""She was an extraordinary woman whose incredible talents, like that of her mother, have made her a powerful advocate for families in public life.""
""I think [Elizabeth] is right about this issue. If you want to talk about marriage equality in a state, just go ahead and make that the top issue in your state - and then go do it with a big enough grassroots campaign that I'm sure is not going to cost a dime,"" Cheney said on Fox News Thursday.
Cheney said the ""problem is not with the gay people.""
""Well, I wouldn't want to sit here and say that there's not a problem but I do think that the problems are with people,"" she said.
The former vice president's daughter said that same-sex marriage should be an issue ""in every state and that's not a big issue,"" but noted that the debate is ""not about the gays, it's not about the lesbians, and it is not a show of hands.""
Cheney said ""If I had the ability, I think I would go to the states and start the conversation, but I do not.""
""If we take it out on states, well, that doesn't seem to make any difference,"" the former vice president's daughter said on Fox.
Cheney then went to explain why the issue is ""not about the gays, not about the lesbians.""
""This is about making America a more loving, more loving place for women,"" she said, noting the ""fact that it is a federal issue. This is not about the gay marriage. We already have the marriage.""
A recent Pew study indicated that one in three Americans support same-sex marriage - but also indicated that one in seven oppose it - and the same in polls from the time of the debate last year, two years ago and a couple of months ago.
This indicates that the public is split over same-sex marriage - and also split between supporters and opponents of same-sex marriage.
When asked if she was surprised by the Pew result, Cheney said that ""it's not about what people think",center,right
Elizabeth Cheney blasted by older sister over gay-marriage stance," Former Vice President Dick Cheney and his daughter Mary Cheney have launched into their own campaign of criticism against the ex-president.
(Via The New York Times)",right,center
Elizabeth Cheney blasted by older sister over gay-marriage stance, Cheney has a different take than Liz.,left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"
Elizabeth and Mary Cheney have joined in a public battle to determine which one, and whom they are prepared to put in charge in their younger sister’s stead.
Both have long criticized their sister’s stances on the issue of same-sex marriage, and Liz is currently running in Wyoming with the endorsement of former President George H.W. Bush.
Mary is running as a Republican candidate for a House of Representatives seat in Virginia.
The issue of gay marriage has become a hot button issue in Washington, D.C., after many people from the states and districts that adopted the U.S. Constitution took the time to vote on the amendment banning same-sex marriage and have overwhelmingly rejected it.
Mary’s husband, Heather Poe, the younger sister of ex-Vice President Dick Cheney, has stated that she is “dead wrong” on marriage and should be a “homosexual” instead of “heterosexual.”
The two Cheney daughters have called into question Liz’s claim that she agrees with her sister on this important issue.
Liz Cheney has responded to the challenge with her own statement, which was taken by the Associated Press: “It’s not like I don’t have a sense of humor. I guess I just have a different view of the issue. That’s all I’m going to say.”

Mary Cheney’s statement had many other headlines, and the story was picked up by the New York Times.
The headline is “Elizabeth Cheney takes on Liz Cheney in Wyoming Senate race.”
The Times reports the endorsement was made by the former President’s wife: “Heather Poe will serve as his campaign’s director of women’s issues.”
Mary Cheney responded by writing in her statement that she did not want her sister to win.
“My sister and I have the utmost respect for each other,” Mary said. “We don’t have an understanding of how we differ on this issue, and that’s what’s important. This was a conversation we had in private, with our families. The result is what really matters.”
The New York Times has not verified the validity of the report, but the headline reads “One daughter blasts sister for same-sex marriage.”
However, Mary has no problem with the statement her sister made on marriage",center,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Former Vice President Dick Cheney criticized his daughter Liz in a post on his Facebook page, saying she is wrong on the same-sex marriage issue.
Liz Cheney, the daughter of the former Vice President, has taken an anti-marriage stance in her bid to become Wyoming's next US Senator. On Friday, she said she wants to make her decision on the matter rather than her sister who opposes same-sex marriage.
The former vice president issued a statement saying, ""This is the right time to decide whether to be with your family, not whether your children may enter into this. It is also a time to decide whether you and your family deserve a society that protects and encourages all of our human rights.""
The younger Cheney has faced criticism over comments she made about the Iraq war, for which she has said she wanted President George W. Bush to resign from office when she was 17 years old.
""I think what we were doing in Iraq was wrong. I believe that,"" she said in a PBS interview in 2006.
""It was unjust in both a moral and a legal way,"" she said.
Liz Cheney has said she believes God gave a special license to fight in Iraq.
The younger Cheney's campaign has been buoyed by conservative leaders who have given her the support to help her in her bid.
In Washington DC, however, the younger Cheney has faced harsh criticism from politicians and politicians across the country.

Mary, your father has had his voice in my father's voice but now your father's voice has gone to the children of women? Your father has had his voice in our voice? Why is it okay for you to listen to your sister's voice?

It is so very refreshing to read.

The only reason I voted for the republicans was because I knew all my family members as Republicans and not because I thought they were good and honest people. So I voted conservative because I believed that the republicans are the real good and honest people.

They are evil and corrupt people and they don't care. My grandfather worked for them as an oil field worker so it is all about greed and power.

The democrats will never ever ever ever let that happen.

Just like we can say if a man can be in the Navy they can be in Congress.
We know what happens when you give a man a job. He doesn't want it and then you make it worse by doing what ever else you can to screw him.",center,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"
The younger Cheney, who is openly gay, has publicly opposed her older sister, Liz, who is running for Senate in the Wyoming GOP primaries for the U.S. Senate seat vacated by the late Sen. Evan Vickers (R).
Although Liz is widely unpopular in Wyoming, and has recently made headlines by making comments critical of gays and lesbians, her comments have been harshly criticized, including by Mary Cheney.
In response, Liz's daughter, Mary, has expressed her regret for being drawn into a debate on family and marriage. She has criticized her sister's comments for being ""a little too extreme.""
According to the New York Times, Liz Cheney has declined to respond to the criticism, ""but she appears to understand that such views are out of step with the family of four.""
The younger Cheney, who is married to her partner, Heather Poe, in Washington, DC, was the second openly gay person to run for a congressional seat in the nation's capital.
Former Representative Cynthia McKinney (D-Ala.) lost in the Democratic primary to Republican Rep. Bob Hall. Former House Speaker Newt Gingrich (R-Ga.) lost to GOP challenger John Spratt, while former Secretary of State Hillary Clinton (D-N.Y.) failed to defeat incumbent Rep. Mike Castle (R-N.Y.) in the general election in the New York suburbs.
-Sara F. Davis",center,left
