Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for her stance on same-sex marriage. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site.",right,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site.",right,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for her stance on same-sex marriage. Mary Cheney is openly lesbian and married to Heather Poe since 2012.",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, the younger sister of Wyoming U.S. Senate candidate Liz Cheney, criticized her sister's opposition to same-sex marriage. Mary Cheney is openly gay and married her partner, Heather Poe, in Washington, DC last year. Liz Cheney is challenging Sen. Mike Enzi in next year's Republican primary.",left,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, the younger sister of Wyoming U.S. Senate candidate Liz Cheney, criticized her sister's opposition to same-sex marriage in a Facebook post. Mary Cheney is openly gay and married her partner, Heather Poe, in Washington, DC last year.",center,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, the younger sister of Wyoming U.S. Senate candidate Liz Cheney, criticized her sister's opposition to same-sex marriage. Mary Cheney is openly gay and married her partner, Heather Poe, in Washington, DC last year.",center,center
"IRS official who refused to testify facing more scrutiny over scandal, past","Lerner is under fire for her role in singling out conservative groups for extra scrutiny. She says she didn't reveal the practice sooner because she wasn't asked. Lawyer: ""I have not broken any laws""",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past","Lerner is under fire for her role in singling out conservative groups for extra scrutiny. She says she didn't reveal it sooner because she wasn't asked. Lawyer: ""You cannot lie to Congress""",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past",Lerner is under fire for her role in singling out conservative groups for extra scrutiny. She says she didn't reveal the practice sooner because she wasn't asked.,right,center
White House Plays Down Data Program,The Obama administration tries to marshal new evidence in defense of its collection of private Internet and telephone data. Director of national intelligence concedes for the first time that the Prism program existed. Obama administration officials have held 13 classified hearings and briefings for members of Congress.,center,center
White House Plays Down Data Program,The Obama administration tries to marshal new evidence in defense of its collection of private Internet and telephone data. Director of national intelligence concedes for the first time that the Prism program existed. Officials say Congress has been briefed 13 times on the programs since 2009.,right,center
White House Plays Down Data Program,The Obama administration tries to marshal new evidence in defense of its collection of private Internet and telephone data. Director of national intelligence concedes for the first time that the Prism program existed. Obama administration officials have held 13 classified hearings and briefings for Congress since 2009.,center,center
N.R.A. Details Plan for Armed School Guards,"National Rifle Association task force calls for armed police officers, security guards or staff members in every American school. Report urges states to loosen gun restrictions to allow trained teachers and administrators to carry weapons.",center,center
N.R.A. Details Plan for Armed School Guards,"National Rifle Association task force calls for armed police officers, security guards or staff members in every American school. Report also urges states to loosen gun restrictions to allow trained teachers and administrators to carry weapons.",center,center
N.R.A. Details Plan for Armed School Guards,"National Rifle Association task force calls for armed police officers, security guards or staff members in every American school. The group also urges states to loosen gun restrictions to allow trained teachers and administrators to carry weapons.",center,center
