Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Wyoming sen. linda johnson blasts her sister for supporting same-sex marriage. johnson: ""the issue of marriage must be decided on a state-by-state basis"" other sen. ted kennedy says he's still supportive of gay marriage.",left,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,Wyoming senator reportedly blasts sister's comments on same-sex marriage. her sister reportedly expressed her 'dead wrong' on the issue. republican has resisted same-sex marriage; critics say it's unfair.,right,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Wyoming senator blasts sibling, one of former vice president's daughters, for their support of same-sex marriage. joe zelizer says she is not pro-gay marriage but would not call on voters to decide. she's also calling on same-sex marriage to be a state issue, not a matter for judges or legislators.",right,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,racy koeppner's daughter blasts sibling's position on same-sex marriage. Cheney says the issue should be decided state-by-state. bill authors say republicans should follow suit.,left,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Wyoming senator says same-sex marriage should be decided by voters. sister, who is openly lesbian and married since 2012, says she is against marriage. ""the issue of marriage must be decided by the states,"" sibling posts.",right,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,the younger sister of ex-Vice President Dick Cheney's two daughters has taken to social media to attack her sister on the issue of same-sex marriage. mrs. Cheney says her sister is dead wrong on the issue of marriage.,right,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"ex-Vice President Dick Cheney’s two daughters criticize her sister for support for same-sex marriage. marilyn Cheney, openly lesbian, married to Heather Poe since 2012, has publicly voiced support for same-sex marriage. her sister, Elizabeth, also a former vice president, reportedly said the matter should be decided on a state-by-state basis.",left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney took to facebook to blast her older sibling's stance on same-sex marriage. reportedly posted to her personal page to blast her sister, a Wyoming senator. said: ""I am not pro-gay marriage""",right,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Wyoming senate candidate pushes her sister to defend same-sex marriage, a rumored source. her sister, a lesbian, is openly lesbian and married to Heather Poe since 2012. the woman cited the ""dead wrong"" position of her sibling, a friend of hers. a former vp who supported gay marriage, would run in 2014 election.",left,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Wyoming U.S. Senate candidate weighs in against same-sex marriage. her sister is openly gay and married her partner in the country last year. ""all families — regardless how they look or how they are made — all families are entitled to the same rights and privileges as every other,"" she wrote.",center,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"sister of Wyoming sen. Liz Cheney rebukes opposition to same-sex marriage. ""i love my sister, but she is dead wrong on the issue of marriage,"" she says in facebook post. ""I am strongly pro-life and I am not pro-gay marriage,"" she says.",right,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"sister of Wyoming senator criticizes opposition to same-sex marriage. criticized her sister's opposition to same-sex marriage in a facebook post. ""for the record, I love my sister, but she is dead wrong,"" she wrote.",right,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney takes to Facebook to criticize sister's opposition to same-sex marriage. she married her partner, Heather Poe, in washington, DC last year. the younger sister of u.s. senator from Wyoming is openly gay.",right,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"the sister of Wyoming sen. Liz Cheney, who is openly gay, attacked her opposition to same-sex marriage. ""for the record, I love my sister, but she is dead wrong on the issue of marriage,"" she wrote. ""I am strongly pro-life and I am not pro-gay marriage,"" she said.",right,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"sister of Wyoming senator speaks out against same-sex marriage. she was openly gay and married partner in washington last year. ""i love my sister, but she is dead wrong on the issue of marriage,"" she writes.",center,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"younger sister of Wyoming senator criticizes opposition to same-sex marriage. her sister, who is openly gay, married her partner, Heather Poe, last year. ""I am strongly pro-life and I am not pro-gay marriage,"" she wrote on facebook. in 2010, democrats in the u.s. are expected to vote on same-sex marriage.",left,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"a younger sister of a former vice president criticizes her opposition to same-sex marriage. ""for the record, I love my sister, but she is dead wrong on the issue of marriage,"" she writes. ""if a marriage is approved, it is not a question of the states,"" she says.",left,center
