Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance,"When two members of the same family disagree about an important subject, both may end up losing.",center,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Cheney vs. Cheney.
Tags: Call ItCheneyDaughter'sFacebookLoveSame-Sex MarriageVice President Dick Cheney",left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"The old man and his daughter argue about homosexuality.
Reaction: (None given)
My take: It will be interesting to see whether Mary Cheney becomes more famous than Liz Cheney from this episode. If she does become more famous, it will say much about our society and how we regard homosexuality.",left,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,The eldest daughter of former U.S. Vice President Richard Cheney has publicly opposed her sister’s opposition to same-sex marriage.,right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,Sister takes on sister over marriage equality,center,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"The elder Cheney daughter issued a statement voicing her opposition to same sex marriage. She is challenging Sen. Mike Enzi (R-WY).
Source URL: https://www.news4jax.com/news/national/mary-cheney-liz-dead-wrong-on-same-sex-marriage",left,center
"IRS official who refused to testify facing more scrutiny over scandal, past","Lois G. Lerner is the Director of Exempt Organizations for the Internal Revenue Service (IRS), where she oversees all aspects of tax-exempt organizations’ tax compliance. She joined the IRS after serving as Chief Counsel for the Federal Election Commission (FEC)—the governmental regulatory body charged with enforcing election finance laws. Ms. Lerner has served in various capacities within the Executive Office of United States Attorneys (EOUSA).",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past","Lois Lerner apologizes for the IRS targeting tea party groups, telling a congressional panel ""It was absolutely incorrect."" But the IRS is still dealing with fallout.",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past","Lois Lerner has become a lightning rod in the scandal over the Internal Revenue Service targeting tea party and other conservative groups. In 2012, Lerner was given the job of heading up the Exempt Organizations unit in the IRS's tax exempt division. Lerner is an experienced IRS attorney with experience handling cases involving politically active groups. On May 10, 2013, the New York Times reported that conservative nonprofit groups were being held back by the IRS while it sorted through their applications. Lerner responded to questions about the matter during a meeting of the American Bar Association Tax Section Conference in Washington on May 10, stating “There’s absolutely no targeting.”
Background: When IRS Director Steven Miller appeared before members of Congress on May 22 to discuss the improper targeting of conservative groups, he blamed the actions of lower level employees in Cincinnati. That explanation fell short of satisfying many. At least part of the reason for that might be found in the fact that some of the officials responsible for reviewing applications from conservative groups were given the job after being placed in charge by career civil servants. That includes Lois Grossman Lerner – who was named head of the IRS Exempt Organization Unit last year. The Exempt Organization Unit reviews applications from groups applying for exemption from federal income taxes. According to reports in the Wall Street Journal, the unit started rejecting or delaying applications from conservative groups in 2010. According to the newspaper, the unit began singling out applicants whose applications included terms such as “Tea Party” or “Patriot,” and demanded detailed information about donors.
Legal experts say that Lerner, who has worked for the IRS for 20 years, may qualify for constitutional protection from self-incrimination. She could still be subpoenaed to appear and give testimony, however, which could result in criminal contempt charges and fines if she refuses to cooperate.
Sources: ABC News, Associated Press, The New York Times, Wall Street Journal",right,center
White House Plays Down Data Program,"“House passes bill banning NSA spying without warrant,” The Hill (June 15, 2013)
Congress passed legislation late Thursday night that would limit the National Security Agency’s authority to conduct electronic surveillance within the United States.
Members of Congress approved the Amash Amendment via voice vote.
The amendment, introduced by Rep. Justin Amash (R-Mich.), would prohibit the NSA from using Section 215 of the USA PATRIOT Act to collect “any tangible things whatsoever” that are “related to” an individual not involved in a criminal or counterterrorism investigation.
The passage of the Amash Amendment came days after former NSA contractor Edward Snowden revealed secret NSA programs that enable domestic surveillance.
The House vote on the amendment passed just minutes before the chamber adjourned for the week. The vote came after House Majority Leader Eric Cantor (R-Va.) offered an amendment to the amendment, allowing for the exemption of the NSA from the amendment if the director of national intelligence certifies that granting immunity to the NSA will help combat threats of “global terrorism.”
Amash accepted the change, saying that it allows him to continue fighting for privacy rights in other areas of the law while maintaining his ability to fight for them where they are being violated.
“This change preserves the fundamental right to be free from unreasonable searches and seizures, while still providing the flexibility necessary for intelligence and national security professionals to target international terrorists,” he said in a statement following the vote. “If the President agrees to my request to declare the NSA’s spying programs illegal, I’ll be glad to support a proposal aimed at repealing those programs.”
Democratic Reps. Jim McGovern (Mass.) and Mike Quigley (Ill.) joined Amash in offering the amendment.
Critics of the NSA argued that the surveillance violates constitutional protections, while supporters countered that the actions have saved lives. A majority of the Democratic caucus voted for the amendment while most Republicans voted against it.
Republican members voted against the amendment because they opposed any limitation on the",center,center
