Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Wyoming senator for governor calls on people to decide same-sex marriage. her sister, who is openly lesbian, says she is ""dead wrong"" for her position. the daughter of ex-Vice President Dick Cheney, took to facebook to blast her older sister.",right,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Wyoming senator candidate calls her sister's stance ""dead wrong"" a sister of former vice president is a staunch supporter of same-sex marriage. the two are engaged but have no children.",left,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Wyoming senator wants same-sex marriage resolved'state-by-state' ""freedom means freedom for everyone"" ""all families are entitled to the same rights, privileges and protections as every other,"" she wrote on facebook.",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"""for the record, I love my sister, but she is dead wrong on the issue of marriage,"" she wrote. ""the issue of marriage must be decided by the states,"" she wrote in a facebook post. ""The issue of marriage must be decided by the states,"" she wrote.",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"openly gay sen. Elizabeth Cheney criticized her sister's opposition to same-sex marriage. ""i am strongly pro-life and I am not pro-gay marriage,"" she wrote on facebook. ""all families... all families are entitled to the same rights, privileges and protections as every other,"" she wrote.",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Liz Cheney is openly gay and married her partner, Heather Poe, in washington, DC last year. ""for the record, I love my sister, but she is dead wrong on the issue of marriage,"" she wrote. ""I believe the issue of marriage must be decided by the states,"" she wrote in a facebook post.",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past","the law protects the right to privacy, and the right to privacy and publicity. federal election commission's attorney said he was ""appalled"" and ""shocked"" the government reportedly acted ""in compliance"" with tax reform.",left,center
"IRS official who refused to testify facing more scrutiny over scandal, past",tax expert lois Lerner refuses to testify to congressional committee. the ethics commission is investigating the IRS' decision to focus on conservative groups. the investigation involves a key component of the agency's practice of targeting conservative groups.,left,center
"IRS official who refused to testify facing more scrutiny over scandal, past","a federal judge could be the next step in the investigation. a former federal elections authority chief is facing a new challenge. the law protects taxpayers from discrimination against religious groups, he says.",center,center
White House Plays Down Data Program,"not everyone is convinced that public sector data can be captured for government use. bob greene: government's secret program aims to collect foreign data. he says the government is not pursuing a ""data mining or privacy practice"" greene: government is trying to protect data about individuals.",left,center
White House Plays Down Data Program,"new: bob greene: for the first time, the government conceded it was a secret program. the program calls for a computer system to help the government. he says it allows the government to ""facilitate"" collection of foreign intelligence. greene: the government's goal is to help the poor by regulating terrorism.",left,center
White House Plays Down Data Program,"national intelligence director insists program is not a secret collection or data mining program. federal bureau of public information has only just begun declassifying ""prism"" in its new statement.",left,center
N.R.A. Details Plan for Armed School Guards,"report calls for armed police officers, security guards or staff members in every school. critics see no distinction between study and review as no longer independent of rifle association. senate expected to debate gun control this month.",center,center
N.R.A. Details Plan for Armed School Guards,"national rifle association released a report urging schools to arm gun owners. ""arming the teacher is merely a response to the last tragedy,"" a former rep said. the report comes amid a burgeoning debate over gun control. critics see no distinction between the two: armed and unarmed.",right,center
N.R.A. Details Plan for Armed School Guards,"nra task force released report that called for armed police officers, security guards or staff members in every american school. critics see no distinction between the two; committee was paid for study. report drew immediate criticism from gun control advocates and many Democrats.",left,center
NRA urges states to allow more armed officers in schools,new: the father of one gun victim applauds the NRA's review effort. a new report recommends putting armed officers in every school. the review concludes a review of newtown's slayings. it calls for schools to conduct a safety assessment.,left,right
NRA urges states to allow more armed officers in schools,a report released Tuesday called for armed police in schools in the wake of the newtown shooting. the report also called for more training for armed officers. president obama has suggested expanding a mass shooting prevention program. the u.s. secretary of state says the review shows strong support for gun control.,left,right
NRA urges states to allow more armed officers in schools,"two weeks after newtown shooting, nra suggests armed school officers. state legislatures need to have more training for armed officers. in the wake of the newtown shooting, the group has recommended more officers.",left,right
Mo Cowan Senate: Deval Patrick Names Former Chief Of Staff To Replace John Kerry,"""Mo"" Cowan will hold the seat in an interim capacity until an election in June. he is a former chief of staff and former legal counsel to deval patrick. the appointment means that there will be two black senators serving together for the first time.",left,center
Mo Cowan Senate: Deval Patrick Names Former Chief Of Staff To Replace John Kerry,"Massachusetts governor deval Patrick chooses former chief of staff, legal counsel. ""he's cool,"" says lt. governor: ""tom Brady, George Clooney, the president have nothing on Mo"" the second black senator from the state, after Edward Brooke, has served in the state's legislature since 1984. the next election for the seats is expected in may.",left,center
Mo Cowan Senate: Deval Patrick Names Former Chief Of Staff To Replace John Kerry,Deval Patrick is the state's first African-American governor. he grew up on the south side of Chicago. he is a former chief of staff and former legal counsel to Patrick. he will be a longtime political adviser to the u.s. secretary of state.,left,center
William Cowan Named Interim Senator in Massachusetts,"a special election on july 25 will see the election of a new republican senator. john mccain will be named a running mate but his appointment doesn't sway him. tim powell, sen. sen. kristin vaz, says he's tempted to follow mccain in the race.",left,center
William Cowan Named Interim Senator in Massachusetts,William Cowan is a lawyer and former aide who was a longtime friend and former aide. he will serve as interim senator until voters choose successor to John Kerry. the vote will be held in a special election set for June 25.,left,center
William Cowan Named Interim Senator in Massachusetts,"Gov. Deval Patrick has appointed former aide William Cowan to fill senator's seat. he is an attorney, friend and former aide and will serve until voters choose a replacement. election to take place on june 25 is expected to be difficult but could be tough for re-election. he will become first black senator since Edward Brooke held seat from 1966 to 1978.",right,center
