Title,Summary,Predicted Bias,Stance
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for her stance on same-sex marriage. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage”",right,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for her stance on same-sex marriage. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage”",right,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for her stance on same-sex marriage. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page: “For the record, I love my sister, but she is dead wrong on the issue of marriage.”",right,left
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney's two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for the latter's stance on same-sex marriage. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage”",right,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for her stance on same-sex marriage. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage”",right,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage.”",right,right
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for her stance on same-sex marriage. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage.”",right,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth, for her stance on same-sex marriage. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage”",right,center
Elizabeth Cheney blasted by older sister over gay-marriage stance,"Mary Cheney, one of ex-Vice President Dick Cheney’s two daughters, has taken to Facebook to blast her older sibling, Elizabeth. Mary Cheney, openly lesbian and married to Heather Poe since 2012, reportedly posted to her personal page on the social media site: “For the record, I love my sister, but she is dead wrong on the issue of marriage.”",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, daughter of former Vice President Dick Cheney, criticizes her sister's stance on same-sex marriage in Facebook post. ""I am strongly pro-life and I am not pro-gay marriage,"" she said.",right,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, daughter of former Vice President Dick Cheney, criticizes her sister's stance on same-sex marriage. ""I am strongly pro-life and I am not pro-gay marriage,"" she said.",right,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, daughter of former Vice President Dick Cheney, criticizes her sister's stance on same-sex marriage in Facebook post. ""I am strongly pro-life and I am not pro-gay marriage,"" she says.",right,left
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, daughter of former Vice President Dick Cheney, criticizes her sister's stance on same-sex marriage. ""I am strongly pro-life and I am not pro-gay marriage,"" she said.",right,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, daughter of former Vice President Dick Cheney, criticizes her sister's stance on same-sex marriage. ""I am strongly pro-life and I am not pro-gay marriage,"" she said in a statement.",right,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, daughter of former Vice President Dick Cheney, criticizes her sister's stance on same-sex marriage. ""I am strongly pro-life and I am not pro-gay marriage,"" she says.",right,right
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, sister of U.S. Senate candidate Liz Cheney, criticized her sister's opposition to same-sex marriage. Mary Cheney is openly gay and married her partner, Heather Poe, in Washington, DC last year.",left,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, sister of U.S. Senate candidate Liz Cheney, criticizes her sister's stance on same-sex marriage. ""I am strongly pro-life and I am not pro-gay marriage,"" she said.",right,center
Mary Cheney: Sister Is 'Dead Wrong' On Gay Marriage,"Mary Cheney, sister of U.S. Senate candidate Liz Cheney, criticizes her sister's stance on same-sex marriage. ""I am strongly pro-life and I am not pro-gay marriage,"" she says.",right,center
"IRS official who refused to testify facing more scrutiny over scandal, past","Lois Lerner is under the protection of her lawyers and the Fifth Amendment. Members of Congress are calling her evasive, and question why she didn't reveal the program sooner. Her history at the Federal Elections Commission is coming under scrutiny.",center,left
"IRS official who refused to testify facing more scrutiny over scandal, past",Lois Lerner is under the protection of her lawyers and the Fifth Amendment. Members of Congress are calling her evasive and question why she didn't reveal the program sooner. Her history at the Federal Elections Commission is also coming under scrutiny.,center,left
"IRS official who refused to testify facing more scrutiny over scandal, past",Lois Lerner is under the protection of her lawyers and the Fifth Amendment. Members of Congress are calling her evasive and question why she didn't reveal the program sooner. Her history at the Federal Elections Commission is coming under scrutiny.,center,left
"IRS official who refused to testify facing more scrutiny over scandal, past","Lois Lerner is under the protection of her lawyers and the Fifth Amendment. Members of Congress are calling her evasive, and question why she didn't reveal the program sooner. Her history at the Federal Elections Commission is coming under scrutiny.",center,right
